CVE,CVSS,EPSS,KEV,Priority
CVE-2022-47986,9.8,0.94345,1,185.1725
CVE-2020-10148,9.8,0.94345,1,185.1725
CVE-2024-4358,9.8,0.94344,1,185.172
CVE-2016-3088,9.8,0.94339,1,185.1695
CVE-2024-38856,9.8,0.94336,1,185.168
CVE-2022-37042,9.8,0.94333,1,185.16649999999998
CVE-2022-44877,9.8,0.94327,1,185.1635
CVE-2018-7602,9.8,0.94316,1,185.15800000000002
CVE-2017-12149,9.8,0.94313,1,185.1565
CVE-2020-9054,9.8,0.94312,1,185.156
CVE-2021-44515,9.8,0.94311,1,185.15550000000002
CVE-2015-1635,9.8,0.9431,1,185.155
CVE-2021-42237,9.8,0.94309,1,185.15449999999998
CVE-2018-20062,9.8,0.94307,1,185.1535
CVE-2016-4437,9.8,0.94303,1,185.1515
CVE-2021-44077,9.8,0.943,1,185.15
CVE-2024-23692,9.8,0.94297,1,185.1485
CVE-2023-1671,9.8,0.94296,1,185.148
CVE-2021-35587,9.8,0.94293,1,185.1465
CVE-2021-20038,9.8,0.94292,1,185.14600000000002
CVE-2021-3129,9.8,0.94287,1,185.1435
CVE-2020-6207,9.8,0.94274,1,185.137
CVE-2022-26138,9.8,0.94274,1,185.137
CVE-2022-26352,9.8,0.94269,1,185.1345
CVE-2021-33044,9.8,0.94269,1,185.1345
CVE-2017-5638,9.8,0.94267,1,185.1335
CVE-2023-38203,9.8,0.94264,1,185.132
CVE-2021-40870,9.8,0.9426,1,185.13
CVE-2024-4885,9.8,0.9426,1,185.13
CVE-2023-27350,9.8,0.94257,1,185.1285
CVE-2023-34362,9.8,0.94254,1,185.127
CVE-2025-24893,9.8,0.94254,1,185.127
CVE-2017-5689,9.8,0.94254,1,185.127
CVE-2020-10189,9.8,0.94248,1,185.124
CVE-2023-48788,9.8,0.94247,1,185.1235
CVE-2017-7494,9.8,0.94243,1,185.1215
CVE-2023-25717,9.8,0.94239,1,185.1195
CVE-2017-9791,9.8,0.94239,1,185.1195
CVE-2024-0012,9.8,0.94234,1,185.117
CVE-2010-2861,9.8,0.94233,1,185.1165
CVE-2021-45382,9.8,0.9423,1,185.115
CVE-2021-31755,9.8,0.9423,1,185.115
CVE-2013-2251,9.8,0.94226,1,185.113
CVE-2021-35394,9.8,0.9422,1,185.11
CVE-2014-6271,9.8,0.9422,1,185.11
CVE-2021-32030,9.8,0.94215,1,185.10750000000002
CVE-2020-29583,9.8,0.94211,1,185.1055
CVE-2018-1273,9.8,0.94191,1,185.09550000000002
CVE-2020-13927,9.8,0.94186,1,185.09300000000002
CVE-2019-7238,9.8,0.94184,1,185.09199999999998
CVE-2025-24813,9.8,0.94183,1,185.0915
CVE-2019-16920,9.8,0.94174,1,185.087
CVE-2021-33045,9.8,0.94171,1,185.0855
CVE-2024-3272,9.8,0.94148,1,185.074
CVE-2012-4681,9.8,0.9414,1,185.07
CVE-2020-7247,9.8,0.94112,1,185.05599999999998
CVE-2024-55591,9.8,0.94111,1,185.0555
CVE-2020-26919,9.8,0.9411,1,185.055
CVE-2024-5217,9.8,0.94108,1,185.054
CVE-2021-27561,9.8,0.94106,1,185.053
CVE-2024-34102,9.8,0.94101,1,185.0505
CVE-2019-10068,9.8,0.94094,1,185.047
CVE-2012-1723,9.8,0.94083,1,185.04149999999998
CVE-2024-27348,9.8,0.94081,1,185.0405
CVE-2023-3519,9.8,0.94055,1,185.0275
CVE-2020-17496,9.8,0.94036,1,185.018
CVE-2017-1000486,9.8,0.94035,1,185.01749999999998
CVE-2017-3881,9.8,0.94029,1,185.0145
CVE-2018-10562,9.8,0.94028,1,185.014
CVE-2021-1498,9.8,0.94012,1,185.006
CVE-2021-22502,9.8,0.93981,1,184.9905
CVE-2016-1555,9.8,0.93967,1,184.9835
CVE-2024-32113,9.8,0.93963,1,184.98149999999998
CVE-2020-10987,9.8,0.93961,1,184.9805
CVE-2015-7450,9.8,0.9396,1,184.98
CVE-2022-41352,9.8,0.93958,1,184.97899999999998
CVE-2024-50623,9.8,0.93956,1,184.978
CVE-2022-42475,9.8,0.9394,1,184.97
CVE-2022-20699,10.0,0.89924,1,184.962
CVE-2014-8361,9.8,0.93922,1,184.961
CVE-2024-13159,9.8,0.9391,1,184.955
CVE-2019-7192,9.8,0.93897,1,184.9485
CVE-2016-8735,9.8,0.93875,1,184.9375
CVE-2024-47575,9.8,0.93874,1,184.937
CVE-2017-15944,9.8,0.9386,1,184.93
CVE-2007-3010,9.8,0.93855,1,184.9275
CVE-2017-11357,9.8,0.93843,1,184.9215
CVE-2022-24086,9.8,0.93839,1,184.9195
CVE-2024-53704,9.8,0.93819,1,184.9095
CVE-2019-10149,9.8,0.93802,1,184.901
CVE-2021-21972,9.8,0.93795,1,184.8975
CVE-2013-0422,9.8,0.93768,1,184.88400000000001
CVE-2018-6530,9.8,0.9376,1,184.88
CVE-2018-14933,9.8,0.93755,1,184.8775
CVE-2016-3427,9.8,0.93752,1,184.876
CVE-2019-16057,9.8,0.9375,1,184.875
CVE-2024-56145,9.8,0.93747,1,184.8735
CVE-2020-25506,9.8,0.93741,1,184.8705
CVE-2021-42258,9.8,0.93704,1,184.852
CVE-2024-12356,9.8,0.93687,1,184.8435
CVE-2021-35395,9.8,0.93663,1,184.8315
CVE-2021-36380,9.8,0.93643,1,184.82150000000001
CVE-2023-23397,9.8,0.93641,1,184.82049999999998
CVE-2024-11680,9.8,0.93609,1,184.8045
CVE-2017-18368,9.8,0.93606,1,184.803
CVE-2012-0507,9.8,0.93568,1,184.784
CVE-2013-2465,9.8,0.9356,1,184.78
CVE-2023-29300,9.8,0.93519,1,184.7595
CVE-2020-5847,9.8,0.9351,1,184.755
CVE-2024-21413,9.8,0.93504,1,184.752
CVE-2019-18935,9.8,0.935,1,184.75
CVE-2020-14644,9.8,0.93483,1,184.7415
CVE-2020-12641,9.8,0.93461,1,184.7305
CVE-2018-15982,9.8,0.93454,1,184.727
CVE-2019-7195,9.8,0.93454,1,184.727
CVE-2018-0171,9.8,0.93395,1,184.6975
CVE-2020-0646,9.8,0.93368,1,184.684
CVE-2017-3066,9.8,0.93362,1,184.68099999999998
CVE-2023-34048,9.8,0.93315,1,184.6575
CVE-2018-10561,9.8,0.93311,1,184.6555
CVE-2019-17621,9.8,0.93302,1,184.651
CVE-2023-45249,9.8,0.93265,1,184.6325
CVE-2015-5119,9.8,0.93228,1,184.614
CVE-2014-0497,9.8,0.9321,1,184.60500000000002
CVE-2019-7194,9.8,0.93183,1,184.5915
